,index,mean,median,knn_1,knn_2,knn_3,knn_4,knn_5,knn_6
0,trestbps,3.6617049260977725,3.7484950515253543,0.9363330272421182,1.6702122232425263,2.209355054472898,2.71684011835527,2.9247301295786126,3.053928737430419
1,chol,42.902408880403634,28.044077134986225,22.481175390266298,36.95439240893786,41.691811493158276,69.55023722069177,81.6491174369962,78.49409073904027
2,fbs,0.00123646410692698,0.0014284256708499133,0.0007142128354249566,0.0007907356392204877,0.0008615900871793125,0.0009118967452300785,0.0009345985103560861,0.000938112890974844
3,restecg,0.012749048275595785,0.022242628303234365,0.0058157330884603614,0.005866748290990716,0.00672267002233332,0.00887026833996531,0.009664319967350267,0.009976306272602565
4,thalach,5.2425848313990855,4.941944699520457,1.6604428119579635,1.7669625548413428,2.292215080093867,2.7249387817569635,3.3276930925415775,3.499625888514776
5,exang,0.0024110694891563253,0.0038771553923069076,0.001122334455667789,0.0008162432404856647,0.0010656508973007285,0.0012434955616773798,0.0012406897255382093,0.0013405661553809714
6,oldpeak,0.013933179626544301,0.020287725742271178,0.0076675849403122125,0.006662585450464238,0.007656928431339209,0.009168133353739413,0.009137679828588922,0.009251096826854401
7,slope,0.0038520010819179814,0.005509641873278237,0.002550760126517702,0.0019895928986838076,0.002505413279824052,0.0026591674318947045,0.0027997143148658287,0.0028143386729245303
8,ca,0.008793909341363095,0.012447709417406387,0.0008162432404856647,0.002091623303744516,0.003276309673616069,0.003743240485664728,0.00439955106621773,0.004361799816345274
9,thal,0.03819939546985001,0.052647689011325376,0.014080195898377716,0.009973472094684216,0.012810484190955563,0.01619732680338741,0.015443322109988772,0.01603011030620458
